x(um),y(um)
617.3,80
617.3,60
617.3,40
617.3,20
800,30
800,50
800,70
800,90
800,10
800,-10
817.3,-20
817.3,0
817.3,80
817.3,60
817.3,40
817.3,20
408.65,-500
408.65,-300
408.65,-900
408.65,-700
408.65,-1100
408.65,-100
600,50
600,30
600,70
408.65,500
600,10
600,90
600,-10
408.65,1500
617.3,0
617.3,-20
200,10
200,-10
217.3,-20
408.65,1000
217.3,0
217.3,80
217.3,60
408.65,0
217.3,40
217.3,20
408.65,-1200
408.65,-200
408.65,-1000
408.65,-800
408.65,-600
408.65,-400
0,50
0,30
0,90
0,70
0,-10
0,10
17.3,0
17.3,-20
17.3,60
17.3,80
17.3,20
17.3,40
200,50
200,30
200,90
200,70
